epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,715.3,1.15022,0.89621,1.23494,0.76536,0.64106,0.73503,0.41373,1.40336,0.96192,1.47868,0.0007228,0.0007228,0.0007228
44,733.262,1.09869,0.87335,1.2043,0.78224,0.58897,0.71005,0.39219,1.46058,1.06928,1.49457,0.0007162,0.0007162,0.0007162
45,749.892,1.10936,0.87614,1.20726,0.73544,0.63516,0.71626,0.38886,1.59684,1.13922,1.62416,0.0007096,0.0007096,0.0007096
46,766.742,1.10638,0.85382,1.19928,0.71135,0.6334,0.70034,0.37132,1.64823,1.25012,1.69425,0.000703,0.000703,0.000703
47,783.269,1.08997,0.88882,1.21062,0.72698,0.63322,0.71618,0.38542,1.55967,1.09271,1.63603,0.0006964,0.0006964,0.0006964
48,799.869,1.1132,0.87495,1.22417,0.73,0.62777,0.70515,0.38677,1.48142,1.07366,1.55751,0.0006898,0.0006898,0.0006898
49,816.441,1.12287,0.87223,1.21625,0.76289,0.64106,0.70905,0.36679,1.52454,1.20377,1.55905,0.0006832,0.0006832,0.0006832
50,833.075,1.09541,0.85791,1.20569,0.75604,0.63072,0.70794,0.38799,1.48208,1.21034,1.60723,0.0006766,0.0006766,0.0006766
51,849.877,1.08196,0.84064,1.20339,0.74286,0.62303,0.71316,0.41025,1.36441,1.07847,1.51314,0.00067,0.00067,0.00067
52,866.51,1.07233,0.8499,1.18957,0.7538,0.6322,0.72099,0.40107,1.49439,1.06104,1.56702,0.0006634,0.0006634,0.0006634
53,883.231,1.08117,0.84766,1.19595,0.74285,0.64993,0.72353,0.39298,1.51833,1.08776,1.58606,0.0006568,0.0006568,0.0006568
54,901.372,1.06437,0.84161,1.20462,0.74572,0.63516,0.73367,0.4048,1.43213,1.013,1.50044,0.0006502,0.0006502,0.0006502
55,917.399,1.03434,0.80446,1.17526,0.79101,0.60379,0.71984,0.39665,1.38803,1.01164,1.48012,0.0006436,0.0006436,0.0006436
56,933.5,1.06238,0.82552,1.17665,0.77749,0.62925,0.73814,0.41642,1.37649,1.00033,1.50939,0.000637,0.000637,0.000637
57,949.916,1.07284,0.83648,1.1974,0.71801,0.66193,0.73139,0.40091,1.46221,1.04156,1.55311,0.0006304,0.0006304,0.0006304
58,966.247,1.05499,0.80501,1.18428,0.81315,0.59781,0.73032,0.41648,1.4439,1.01937,1.54469,0.0006238,0.0006238,0.0006238
59,982.43,1.04598,0.78329,1.16075,0.72577,0.62925,0.69563,0.3755,1.57028,1.1297,1.62614,0.0006172,0.0006172,0.0006172
60,998.663,1.04919,0.78476,1.17007,0.7216,0.63516,0.70571,0.3953,1.41633,1.12622,1.48521,0.0006106,0.0006106,0.0006106
61,1014.92,1.02249,0.79388,1.15632,0.69113,0.64845,0.67035,0.38167,1.37013,1.17842,1.51221,0.000604,0.000604,0.000604
62,1031.29,1.0213,0.78417,1.15008,0.74757,0.64993,0.73465,0.42143,1.36575,0.93374,1.46392,0.0005974,0.0005974,0.0005974
63,1047.8,1.00466,0.77119,1.15432,0.73606,0.61004,0.7031,0.38003,1.48008,1.05612,1.52509,0.0005908,0.0005908,0.0005908
64,1064.23,1.00015,0.76185,1.15933,0.75331,0.6322,0.70919,0.39242,1.43622,0.98135,1.49551,0.0005842,0.0005842,0.0005842
65,1082.56,1.00145,0.75479,1.16298,0.77829,0.61595,0.72923,0.40649,1.38695,1.00516,1.48449,0.0005776,0.0005776,0.0005776
66,1100.37,1.0033,0.76564,1.16218,0.77681,0.60664,0.71396,0.38699,1.45454,1.03278,1.53093,0.000571,0.000571,0.000571
67,1118.45,1.00902,0.7518,1.16035,0.76665,0.61595,0.72837,0.40107,1.47185,0.97536,1.5232,0.0005644,0.0005644,0.0005644
68,1136.37,1.02294,0.75902,1.15286,0.76439,0.66131,0.74527,0.41793,1.4803,0.99719,1.54146,0.0005578,0.0005578,0.0005578
69,1154.44,1.01274,0.76551,1.15028,0.76505,0.6301,0.73069,0.39598,1.48652,1.04653,1.54855,0.0005512,0.0005512,0.0005512
70,1172.59,0.99512,0.74845,1.14843,0.759,0.64198,0.73837,0.41547,1.42498,1.02337,1.52992,0.0005446,0.0005446,0.0005446
71,1190.86,0.97382,0.73406,1.13755,0.70963,0.66174,0.72525,0.40565,1.4234,1.0862,1.49106,0.000538,0.000538,0.000538
72,1209.39,0.97487,0.72325,1.12957,0.73585,0.62955,0.71557,0.40137,1.54317,1.0751,1.57027,0.0005314,0.0005314,0.0005314
73,1227.52,0.98985,0.75275,1.13104,0.7921,0.60782,0.72006,0.40794,1.43617,1.03551,1.52886,0.0005248,0.0005248,0.0005248
74,1245.56,1.01238,0.75071,1.1539,0.74181,0.63658,0.71644,0.40393,1.46484,1.07108,1.5433,0.0005182,0.0005182,0.0005182
75,1262.86,0.95375,0.71554,1.14576,0.72562,0.65235,0.71639,0.39416,1.41054,1.09585,1.49874,0.0005116,0.0005116,0.0005116
76,1280.13,0.98805,0.74743,1.14082,0.78619,0.59202,0.72397,0.39862,1.43899,1.00802,1.49683,0.000505,0.000505,0.000505
77,1296.97,0.94054,0.71131,1.11476,0.76194,0.63959,0.73275,0.40442,1.47636,0.97909,1.51281,0.0004984,0.0004984,0.0004984
78,1314.44,0.9744,0.74017,1.14048,0.81248,0.58241,0.70933,0.39487,1.5022,0.98923,1.54144,0.0004918,0.0004918,0.0004918
79,1331.77,0.95227,0.70589,1.12104,0.76743,0.61595,0.71072,0.39687,1.53314,1.02649,1.58305,0.0004852,0.0004852,0.0004852
