epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.779,1.4426,2.69716,1.58228,0.80537,0.28571,0.38716,0.24034,1.13801,3.34814,1.33358,0.000544327,0.000544327,0.000544327
2,548.931,1.51173,2.21532,1.6161,0.32934,0.42857,0.22226,0.10168,1.4486,3.92401,1.71999,0.0010891,0.0010891,0.0010891
3,866.503,1.56554,2.16109,1.64245,0.74672,0.5,0.59728,0.25918,1.42861,3.65947,1.63929,0.00162288,0.00162288,0.00162288
4,1158.08,1.62345,2.04276,1.70564,0.32981,0.57143,0.32742,0.14282,2.10687,3.65654,2.09185,0.00161749,0.00161749,0.00161749
5,1446.03,1.5793,1.96436,1.65387,0.63114,0.85714,0.75008,0.40908,1.40085,2.29866,1.60111,0.00160099,0.00160099,0.00160099
6,1740.53,1.5374,1.86797,1.63357,0.59938,0.64286,0.55952,0.27929,1.68521,2.09154,1.9185,0.00158448,0.00158448,0.00158448
7,2030.9,1.53711,1.79737,1.64459,0.84472,0.5,0.63423,0.37171,1.49048,2.24845,1.67141,0.00156798,0.00156798,0.00156798
8,2344.15,1.4875,1.74634,1.59655,0.76045,0.78571,0.78819,0.51872,1.25398,2.00448,1.46207,0.00155148,0.00155148,0.00155148
9,2630.77,1.46044,1.59285,1.54026,0.82546,0.64286,0.73545,0.47945,1.2818,1.63542,1.37747,0.00153497,0.00153497,0.00153497
